Sample in Buffer,Sample in Window,TRIGGER,SDUAM_i/system_ila_0/inst/probe0_1[31:0],SDUAM_i/system_ila_0/inst/probe1_1[31:0],SDUAM_i/system_ila_0/inst/probe2_1[31:0],SDUAM_i/system_ila_0/inst/probe3_1[31:0],SDUAM_i/system_ila_0/inst/probe4_1,SDUAM_i/system_ila_0/inst/probe5_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_addr_1[11:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_din_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_dout_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_en_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_rst_1,SDUAM_i/system_ila_0/inst/SLOT_0_BRAM_we_1[3:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_rst_1,SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_din_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_en_1,SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_dout_1[31:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_we_1[3:0],SDUAM_i/system_ila_0/inst/SLOT_1_BRAM_addr_1[10:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,000
1,1,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,001
2,2,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,002
3,3,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,003
4,4,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,000
5,5,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,001
6,6,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,002
7,7,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,003
8,8,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,000
9,9,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,001
10,10,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,002
11,11,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,003
12,12,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,000
13,13,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,001
14,14,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,002
15,15,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,003
16,16,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,000
17,17,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,001
18,18,0,00000000,00000000,00000000,00000000,0,0,000,12345654,00000000,0,0,0,0,00000000,1,00000000,0,002
19,19,0,00000000,00000000,00000000,00000000,0,0,000,22222222,00000000,0,0,0,0,00000000,1,00000000,0,003
20,20,1,00000000,00000000,00000000,00000000,0,0,000,22222222,00000000,1,0,f,0,00000000,1,00000000,0,000
21,21,0,00000000,00000000,00000000,00000000,0,0,000,22222222,22222222,0,0,0,0,00000000,1,22222222,0,001
